id,orginal_title_2,year_2,meterScore,meterClass
26258,Bushwhacked,1995,11,rotten
50797,Утомлённые солнцем,1994,-1,-1
19155,Before the Rain,1994,92,fresh
76,Before Sunrise,1995,100,certified_fresh
11017,Billy Madison,1995,40,rotten
37141,The Babysitter,1995,17,rotten
9382,Boys on the Side,1995,74,fresh
6715,The Cure,1995,45,rotten
18256,Castle Freak,1995,63,fresh
22625,Circle of Friends,1995,-1,-1
2292,Clerks,1994,89,certified_fresh
1909,Don Juan DeMarco,1994,69,fresh
8984,Disclosure,1994,59,rotten
61813,Dream Man,1995,-2,-2
4954,Drop Zone,1994,41,rotten
62488,Destiny Turns on the Radio,1995,17,rotten
10531,Death and the Maiden,1994,-1,-1
11929,Dolores Claiborne,1995,84,certified_fresh
8467,Dumb and Dumber,1994,68,fresh
10451,飲食男女,1994,-1,-1
20156,Exotica,1994,97,fresh
18395,Exit to Eden,1994,6,rotten
522,Ed Wood,1994,92,certified_fresh
397,French Kiss,1995,48,rotten
10525,Forget Paris,1995,50,rotten
27985,Far from Home: The Adventures of Yellow Dog,1995,57,rotten
15789,A Goofy Movie,1995,58,rotten
27303,Hideaway,1995,20,rotten
21183,Fluke,1995,27,rotten
10954,Farinelli,1994,58,rotten
47867,Gordy,1995,26,rotten
43475,Gumby: The Movie,1995,20,rotten
72031,The Glass Shield,1994,65,fresh
14275,Hoop Dreams,1994,98,certified_fresh
1024,Heavenly Creatures,1994,92,certified_fresh
17207,Houseguest,1995,14,rotten
13701,Immortal Beloved,1994,55,rotten
14819,Heavyweights,1995,29,rotten
32631,The Hunted,1995,-1,-1
11777,I.Q.,1994,44,rotten
628,Interview with the Vampire,1994,63,fresh
87729,Jefferson in Paris,1995,31,rotten
18713,The Jerky Boys,1995,17,rotten
6280,Junior,1994,36,rotten
9061,Just Cause,1995,26,rotten
37108,A Kid in King Arthur's Court,1995,5,rotten
6071,Kiss of Death,1995,68,fresh
11,Star Wars,1977,-1,-1
9587,Little Women,1994,92,fresh
19101,A Little Princess,1995,97,fresh
49980,Ladybird Ladybird,1994,75,fresh
17961,L'Enfer,1994,100,fresh
18183,Como agua para chocolate,1992,87,certified_fresh
4476,Legends of the Fall,1994,58,rotten
11008,Major Payne,1995,-1,-1
47504,Little Odessa,1994,-1,-1
32325,Mi Vida Loca,1994,-1,-1
43742,Love Affair,1994,30,rotten
28313,Losing Isaiah,1995,45,rotten
11318,The Madness of King George,1994,93,certified_fresh
3036,Frankenstein,1994,-1,-1
40490,Man of the House,1995,14,rotten
24070,Mixed Nuts,1994,10,rotten
8986,Milk Money,1994,12,rotten
10510,Miracle on 34th Street,1994,60,fresh
17402,Miami Rhapsody,1995,45,rotten
38722,My Family,1995,85,fresh
8438,Murder in the First,1995,-1,-1
11593,Nobody's Fool,1994,91,certified_fresh
1945,Nell,1994,55,rotten
39310,New Jersey Drive,1995,64,fresh
109560,New York Cop,1993,-2,-2
56428,Beyond Bedlam,1994,-2,-2
63105,Nemesis 2 - Nebula,1995,-2,-2
131957,Nina Takes a Lover,1995,50,rotten
241,Natural Born Killers,1994,48,rotten
9058,Only You,1994,54,rotten
527,Once Were Warriors,1994,93,certified_fresh
18220,Poison Ivy II: Lily,1996,-1,-1
6950,Outbreak,1995,60,fresh
101,Léon,1994,-1,-1
63020,The Perez Family,1995,65,fresh
2307,A Pyromaniac's Love Story,1995,0,rotten
680,Pulp Fiction,1994,92,certified_fresh
41478,Panther,1995,-1,-1
25296,Pushing Hands,1992,-1,-1
40156,Priest,1994,-1,-1
11450,Quiz Show,1994,96,certified_fresh
30304,Picture Bride,1995,82,fresh
10452,La Reine Margot,1994,82,fresh
12106,The Quick and the Dead,1995,59,rotten
161495,Roommates,1995,29,rotten
3586,Prêt-à-Porter,1994,-1,-1
110,Trois couleurs : Rouge,1994,100,certified_fresh
108,Trois couleurs : Bleu,1993,98,certified_fresh
109,Trois couleurs : Blanc,1994,87,certified_fresh
159185,Pao Da Shuang Deng,1994,80,fresh
36357,Rent-a-Kid,1995,-2,-2
92769,Relative Fear,1995,-1,-1
28033,Stuart Saves His Family,1995,30,rotten
22586,The Swan Princess,1994,50,rotten
14334,The Secret of Roan Inish,1994,-1,-1
2636,The Specialist,1994,7,rotten
2164,Stargate,1994,53,rotten
11395,The Santa Clause,1994,71,certified_fresh
278,The Shawshank Redemption,1994,91,certified_fresh
9905,Shallow Grave,1994,-1,-1
87078,Suture,1993,71,fresh
12527,Fresa y chocolate,1993,-2,-2
20306,Swimming with Sharks,1994,-1,-1
36614,The Sum of Us,1994,-1,-1
27993,Senior Trip,1995,0,rotten
31439,活着,1994,-1,-1
9067,Tank Girl,1995,40,rotten
9059,Tales from the Crypt: Demon Knight,1995,36,rotten
193,Star Trek: Generations,1994,48,rotten
25066,Tales from the Hood,1995,47,rotten
46797,Tom & Viv,1994,31,rotten
12122,Village of the Damned,1995,31,rotten
11381,Tommy Boy,1995,42,rotten
32636,Vanya on 42nd Street,1994,-1,-1
36141,The Underneath,1995,59,rotten
95963,The Walking Dead,1995,95,certified_fresh
1587,What's Eating Gilbert Grape,1993,90,certified_fresh
9271,Virtuosity,1995,32,rotten
2064,While You Were Sleeping,1995,80,certified_fresh
19855,The War,1994,-1,-1
60855,Double Happiness,1994,-1,-1
236,Muriel's Wedding,1994,-1,-1
48287,The Baby-Sitters Club,1995,67,fresh
3049,Ace Ventura: Pet Detective,1994,-1,-1
2759,"The Adventures of Priscilla, Queen of the Desert",1994,96,certified_fresh
12635,Backbeat,1994,69,fresh
10497,Bitter Moon,1992,65,fresh
11382,Bullets Over Broadway,1994,97,certified_fresh
9331,Clear and Present Danger,1994,80,certified_fresh
10731,The Client,1994,78,fresh
10464,"Corrina, Corrina",1994,39,rotten
34152,Crooklyn,1994,77,fresh
9495,The Crow,1994,83,certified_fresh
29973,Cobb,1994,65,fresh
888,The Flintstones,1994,22,rotten
13,Forrest Gump,1994,71,fresh
712,Four Weddings and a Funeral,1994,96,certified_fresh
16295,Higher Learning,1995,-1,-1
48992,I Like It Like That,1994,80,fresh
10879,I Love Trouble,1994,22,rotten
10660,It Could Happen to You,1994,71,fresh
10714,The Jungle Book,1994,-1,-1
41647,Die Macht der Bilder: Leni Riefenstahl,1993,-1,-1
8587,The Lion King,1994,93,certified_fresh
1689,Little Buddha,1993,-1,-1
11596,New Nightmare,1994,78,certified_fresh
854,The Mask,1994,77,certified_fresh
9359,Maverick,1994,66,fresh
23333,Mrs. Parker and the Vicious Circle,1994,75,fresh
36593,The Naked Gun 33⅓: The Final Insult,1994,-1,-1
12280,The Paper,1994,-1,-1
2788,Reality Bites,1994,-1,-1
10427,Red Rock West,1993,95,fresh
11011,Ri¢hie Ri¢h,1994,-1,-1
49803,Safe Passage,1994,-1,-1
8987,The River Wild,1994,56,rotten
1637,Speed,1994,94,certified_fresh
15128,Speechless,1994,11,rotten
8831,Timecop,1994,45,rotten
36955,True Lies,1994,71,fresh
10449,When a Man Loves a Woman,1994,71,fresh
10395,Wolf,1994,-1,-1
12160,Wyatt Earp,1994,44,rotten
40480,Bad Company,1995,27,rotten
52038,A Man of No Importance,1994,86,fresh
29444,S.F.W.,1994,12,rotten
26352,A Low Down Dirty Shame,1994,0,rotten
39953,"Boys Life: Three Stories of Love, Lust, and Liberation",1994,-1,-1
41580,Le colonel Chabert,1994,-1,-1
315,"Faster, Pussycat! Kill! Kill!",1965,70,fresh
22067,Jason's Lyric,1994,61,fresh
18242,The Secret Adventures of Tom Thumb,1993,80,fresh
11667,Street Fighter,1994,10,rotten
32502,Coldblooded,1995,-2,-2
267188,Desert Winds,1997,-1,-1
28732,Fall Time,1995,-1,-1
75555,The Fear,1995,-1,-1
42981,Frank and Ollie,1995,-1,-1
278939,Girl in the Cadillac,1995,-2,-2
291731,Homage,1995,-1,-1
226229,Mirage,1995,-1,-1
203119,Open Season,1996,-1,-1
172923,Dos Crímenes,1995,-1,-1
316098,Brother Minister: The Assassination of Malcolm X,1995,-2,-2
8011,Highlander III: The Sorcerer,1994,-1,-1
171857,Federal Hill,1995,-1,-1
2654,In the Mouth of Madness,1994,-1,-1
18069,8 Seconds,1994,31,rotten
19092,Above the Rim,1994,53,rotten
2758,Addams Family Values,1993,77,certified_fresh
38129,Martin Lawrence: You So Crazy,1994,50,rotten
10436,The Age of Innocence,1993,84,certified_fresh
13595,Airheads,1994,23,rotten
46094,The Air Up There,1994,21,rotten
9409,Another Stakeout,1993,16,rotten
11853,Bad Girls,1994,9,rotten
16771,Barcelona,1994,83,fresh
46924,Being Human,1994,54,rotten
11041,The Beverly Hillbillies,1993,22,rotten
306,Beverly Hills Cop III,1994,9,rotten
14522,Black Beauty,1994,80,fresh
26203,Blink,1994,63,fresh
178,Blown Away,1994,38,rotten
19819,Blue Chips,1994,37,rotten
57834,Blue Sky,1994,79,fresh
4722,Body Snatchers,1993,69,fresh
18215,Boxing Helena,1993,17,rotten
1607,A Bronx Tale,1993,97,fresh
26391,Cabin Boy,1994,46,rotten
117553,Calendar Girl,1993,11,rotten
6075,Carlito's Way,1993,81,certified_fresh
11310,City Slickers II: The Legend of Curly's Gold,1994,17,rotten
18658,Clean Slate,1994,19,rotten
9350,Cliffhanger,1993,69,fresh
9612,Coneheads,1993,35,rotten
2124,Color of Night,1994,22,rotten
26261,Cops & Robbersons,1994,14,rotten
19176,The Cowboy Way,1994,21,rotten
49299,Dangerous Game,1993,31,rotten
11566,Dave,1993,-1,-1
9571,Dazed and Confused,1993,92,certified_fresh
9739,Demolition Man,1993,60,fresh
24257,The Endless Summer 2,1994,47,rotten
34444,Even Cowgirls Get the Blues,1994,19,rotten
26141,Fatal Instinct,1993,18,rotten
10997,霸王别姬,1993,-1,-1
50463,The Favor,1994,27,rotten
10443,Fearless,1993,85,fresh
20239,Fear of a Black Hat,1994,86,fresh
16297,With Honors,1994,17,rotten
18551,Flesh and Bone,1993,68,fresh
25440,Widows' Peak,1994,94,fresh
9024,For Love or Money,1993,37,rotten
37233,The Firm,1993,75,certified_fresh
1634,Free Willy,1993,68,fresh
13815,Fresh,1994,88,certified_fresh
5503,The Fugitive,1993,96,certified_fresh
35588,Geronimo: An American Legend,1993,48,rotten
2087,The Getaway,1994,-1,-1
41579,Getting Even with Dad,1994,3,rotten
18620,Go Fish,1994,-1,-1
41006,A Good Man in Africa,1994,10,rotten
4916,Guilty as Sin,1993,38,rotten
2019,Hard Target,1993,57,rotten
31642,Heaven & Earth,1993,-1,-1
9255,Hot Shots! Part Deux,1993,57,rotten
26271,Live Nude Girls,1995,38,rotten
10612,The Englishman Who Went Up a Hill But Came Down a Mountain,1995,58,rotten
2259,The House of the Spirits,1993,-1,-1
16097,House Party 3,1994,0,rotten
11934,The Hudsucker Proxy,1994,59,rotten
106143,I'll Do Anything,1994,61,fresh
12475,In the Army Now,1994,6,rotten
9386,In the Line of Fire,1993,96,certified_fresh
7984,In the Name of the Father,1993,94,certified_fresh
59930,The Inkwell,1994,25,rotten
15765,What's Love Got to Do with It,1993,96,certified_fresh
31643,Jimmy Hollywood,1994,22,rotten
6,Judgment Night,1993,35,rotten
329,Jurassic Park,1993,91,certified_fresh
10909,Kalifornia,1993,59,rotten
507,Killing Zoe,1993,-1,-1
34024,King of the Hill,1993,94,fresh
29918,Lassie,1994,88,fresh
9593,Last Action Hero,1993,38,rotten
42580,Life With Mikey,1993,25,rotten
22317,Lightning Jack,1994,6,rotten
1413,M. Butterfly,1993,43,rotten
12121,Made in America,1993,31,rotten
2246,Malice,1993,57,rotten
10502,The Man without a Face,1993,65,fresh
10440,Manhattan Murder Mystery,1993,93,fresh
9516,Menace II Society,1993,84,fresh
2320,Executive Decision,1996,65,fresh
5879,愛のコリーダ,1976,-1,-1
83718,What Happened Was...,1994,90,fresh
11971,Much Ado About Nothing,1993,90,certified_fresh
2625,Mr. Jones,1993,46,rotten
31911,Mr. Wonderful,1993,52,rotten
788,Mrs. Doubtfire,1993,71,fresh
21450,Naked,1993,-1,-1
11231,The Next Karate Kid,1994,7,rotten
41588,The New Age,1994,64,fresh
10447,No Escape,1994,50,rotten
31586,North,1994,14,rotten
9300,Orlando,1992,-1,-1
9559,A Perfect World,1993,79,fresh
9800,Philadelphia,1993,80,certified_fresh
713,The Piano,1993,92,certified_fresh
8291,Poetic Justice,1993,34,rotten
18133,The Program,1993,43,rotten
25557,The Puppet Masters,1994,26,rotten
22588,Radioland Murders,1994,24,rotten
10872,The Ref,1994,72,certified_fresh
1245,The Remains of the Day,1993,95,certified_fresh
11858,Renaissance Man,1994,12,rotten
7007,Rising Sun,1993,33,rotten
10467,The Road to Wellville,1994,41,rotten
5550,RoboCop 3,1993,6,rotten
8005,Robin Hood: Men in Tights,1993,40,rotten
2088,Romeo Is Bleeding,1993,26,rotten
10412,Romper Stomper,1992,-1,-1
47889,Ruby in Paradise,1993,-1,-1
14534,Rudy,1993,78,certified_fresh
56583,The Saint of Fort Washington,1993,80,fresh
41878,Les Nuits Fauves,1992,63,fresh
424,Schindler's List,1993,97,certified_fresh
35233,The Scout,1994,22,rotten
14291,Searching for Bobby Fischer,1993,100,certified_fresh
103413,Second Best,1994,100,fresh
11236,The Secret Garden,1993,88,certified_fresh
11592,Serial Mom,1994,63,fresh
8850,The Shadow,1994,-1,-1
10445,Shadowlands,1993,97,fresh
695,Short Cuts,1993,95,certified_fresh
43535,A Simple Twist of Fate,1994,43,rotten
12519,Sirens,1993,-1,-1
23210,Six Degrees of Separation,1993,88,fresh
858,Sleepless in Seattle,1993,75,certified_fresh
867,Sliver,1993,11,rotten
78,Blade Runner,1982,90,certified_fresh
13203,Son in Law,1993,21,rotten
10442,So I Married an Axe Murderer,1993,53,rotten
11074,Striking Distance,1993,17,rotten
33367,Harem,1985,-2,-2
9607,Super Mario Bros.,1993,24,rotten
17585,Surviving the Game,1994,24,rotten
9057,Terminal Velocity,1994,19,rotten
20967,Thirty Two Short Films About Glenn Gould,1993,92,fresh
10635,Threesome,1994,28,rotten
9479,The Nightmare Before Christmas,1993,95,certified_fresh
10057,The Three Musketeers,1993,28,rotten
11969,Tombstone,1993,74,certified_fresh
41590,Trial by Jury,1994,8,rotten
319,True Romance,1993,93,certified_fresh
26408,The War Room,1993,96,fresh
15139,The Pagemaster,1994,21,rotten
161158,"Paris, France",1994,-1,-1
218473,"The Beans of Egypt, Maine",1994,-1,-1
85247,Killer,1994,-1,-1
11446,Welcome to the Dollhouse,1995,90,certified_fresh
51980,Germinal,1993,-1,-1
24405,Chasers,1994,33,rotten
11655,Cronos,1993,-1,-1
11800,Naked in New York,1993,-1,-1
8223,Kika,1993,60,fresh
14587,Bhaji on the Beach,1994,-1,-1
31504,Little Big League,1994,31,rotten
41653,Kådisbellan,1993,-1,-1
53185,Wide Eyed and Legless,1993,-2,-2
95743,Foreign Student,1994,-2,-2
23637,Io speriamo che me la cavo,1992,-1,-1
17600,Spanking the Monkey,1994,91,fresh
10897,The Little Rascals,1994,23,rotten
349394,À la mode,1993,-2,-2
21352,Andre,1994,50,rotten
68806,La scorta,1993,-1,-1
37345,Princess Caraboo,1994,63,fresh
32562,The Celluloid Closet,1996,97,fresh
47507,Métisse,1993,-1,-1
25403,Caro diario,1993,-1,-1
124304,De eso no se habla,1993,80,fresh
9066,The Brady Bunch Movie,1995,62,fresh
771,Home Alone,1990,65,fresh
251,Ghost,1990,-1,-1
812,Aladdin,1992,95,certified_fresh
280,Terminator 2: Judgment Day,1991,93,certified_fresh
581,Dances with Wolves,1990,83,certified_fresh
80350,Tough and Deadly,1995,-1,-1
268,Batman,1989,-1,-1
274,The Silence of the Lambs,1991,96,certified_fresh
408,Snow White and the Seven Dwarfs,1937,98,certified_fresh
10020,Beauty and the Beast,1991,94,certified_fresh
10895,Pinocchio,1940,100,certified_fresh
114,Pretty Woman,1990,63,fresh
41043,Окно в Париж,1993,-1,-1
576,The Wild Bunch,1969,90,certified_fresh
15477,Love and a .45,1994,83,fresh
59146,The Wooden Man's Bride,1994,-1,-1
124472,A Great Day in Harlem,1994,-1,-1
30528,Bye Bye Love,1995,-1,-1
7300,One Fine Day,1996,50,rotten
10824,Candyman: Farewell to the Flesh,1995,-1,-1
261246,Century,1993,-1,-1
275,Fargo,1996,94,certified_fresh
25059,Homeward Bound II: Lost in San Francisco,1996,53,rotten
11827,Heavy Metal,1981,60,fresh
8766,Hellraiser: Bloodline,1996,27,rotten
23570,The Pallbearer,1996,45,rotten
47333,Jane Eyre,1996,-1,-1
54850,Loaded,1996,-1,-1
51242,Pane e cioccolata,1974,100,fresh
10112,The Aristocats,1970,64,fresh
4307,La flor de mi secreto,1995,83,fresh
46029,Two Much,1996,14,rotten
32308,Ed,1996,-1,-1
88893,Schrei aus Stein,1991,-1,-1
52873,Ma saison préférée,1993,-1,-1
123505,A Modern Affair,1996,-1,-1
340210,Condition Red,1995,-2,-2
44281,Asfour Stah,1990,-1,-1
28121,A Thin Line Between Love and Hate,1996,12,rotten
12520,The Last Supper,1995,-1,-1
1592,Primal Fear,1996,76,certified_fresh
166901,Rude,1995,-1,-1
36447,Carried Away,1996,64,fresh
19042,All Dogs Go to Heaven 2,1996,20,rotten
38884,Land and Freedom,1995,-1,-1
47449,Denise Calls Up,1995,-1,-1
36259,Theodore Rex,1995,0,rotten
41852,A Family Thing,1996,73,fresh
40926,Frisk,1996,-2,-2
9099,Sgt. Bilko,1996,31,rotten
2021,Jack & Sarah,1995,-1,-1
61752,Girl 6,1996,33,rotten
10988,Diabolique,1996,18,rotten
11479,Un indien dans la ville,1994,13,rotten
398959,Roula - Dunkle Geheimnisse,1995,-1,-1
287305,Peanuts – Die Bank zahlt alles,1996,-1,-1
339428,Happy Weekend,1996,-1,-1
12652,Nelly & Monsieur Arnaud,1996,96,fresh
10684,Courage Under Fire,1996,85,certified_fresh
954,Mission: Impossible,1996,64,fresh
68445,Á köldum klaka,1995,-1,-1
18989,Moll Flanders,1996,-2,-2
10801,Das Superweib,1996,-1,-1
54285,삼공일 삼공이,1995,-1,-1
8840,DragonHeart,1996,50,rotten
278978,Und keiner weint mir nach,1996,-1,-1
124625,My Mother's Courage,1995,-1,-1
11107,Eddie,1996,-1,-1
16417,Yankee Zulu,1993,-2,-2
70934,Billy's Holiday,1995,-2,-2
10363,Plein soleil,1960,-1,-1
161070,August,1996,-1,-1
10539,James and the Giant Peach,1996,91,certified_fresh
10543,Fear,1996,46,rotten
18414,Kids in the Hall: Brain Candy,1996,-1,-1
47502,Faithful,1996,7,rotten
11902,Podzemlje,1995,-1,-1
